0;39.6554,25.2104,28.2762
1;1.7359,-5.3243,-3.5555
2;-7.8267,-4.1199,3.0859
3;-30.8787,-5.1368,23.5421
4;-3.9274,-67.6478,-1.4809
5;-22.5020,-73.0261,114.3641
6;3.0059,4.3101,9.4699
7;3.2684,-12.3296,-20.3913
8;14.3415,4.9596,17.0192
9;-1.8869,2.4798,-1.6588
10;-2.4960,9.6518,20.0410
11;-8.2327,4.8667,-4.3985
12;-8.7669,16.8872,6.1969
13;21.1484,-2.1220,-0.8671
14;-7.4168,4.4816,-3.7968
15;-0.1416,9.6078,-2.5902
16;81.5120,-6.6116,54.0512
17;-394.9491,91.6463,198.6481
18;9.8098,1.2916,0.3767
19;4.9112,3.7400,-8.7675
20;-487.6824,-23.5001,-225.2245
21;25.4815,-26.1573,24.2362
22;1.7172,4.6093,-13.5424
23;10.8728,42.3541,6.2810
24;6.2615,1.4249,14.9917
25;1.9570,4.5989,-12.1469
26;21.6557,13.1867,33.0658
27;23.9578,-31.0712,-35.5559
28;11.2419,1.1162,14.1787
29;-20.5411,17.3905,-34.8213
30;0.7761,0.7676,-1.0916
31;-22.2198,-14.0751,58.4207
32;33.5125,5.2802,-11.8020
33;-5.8007,33.1921,10.3849
34;3.5481,-16.5526,-0.0179
35;11.7496,10.3327,-5.7298
36;-0.2118,-12.4142,-12.2430
37;-11.8778,-27.9056,-14.8967
38;15.4732,-5.6349,-14.1239
39;7.8580,14.1809,-5.2708
40;-10.6554,30.2433,8.2593
41;-19.3858,-8.8316,47.9370
42;-9.1015,16.5896,-19.2546
43;17.3151,-4.8745,-23.5546
44;-31.2536,45.7214,-17.0680
45;-11.3583,22.5749,10.2846
46;5.6550,4.8374,0.1886
47;13.6779,-33.6321,-8.7404
48;13.9757,-11.8857,11.7010
49;5.4031,9.0052,-3.3078
50;2.1757,8.1170,-1.1543
51;-26.8469,-4.8051,-15.2516
52;19.9263,-1.1265,-7.3502
53;10.1122,0.5340,0.6670
54;-12.1787,-8.9680,0.5583
55;-5.9717,12.0004,4.8541
56;-9.1454,17.6373,-6.2563
57;-13.3341,11.4092,-7.6398
58;-5.3441,-9.8507,-13.2307
59;-31.4360,38.8005,5.9732
60;0.4980,-29.3813,4.5738
61;-4.2210,-3.3050,6.4132
62;-3.9123,-7.9252,-2.4294
63;1.4314,-13.3911,-5.6992
64;-7.1014,-22.1667,-9.0088
65;2.1055,-2.7915,25.6440
66;-0.8247,-2.2298,6.5361
67;-33.3440,3.7972,-19.5494
68;18.8526,51.7000,-106.1870
69;46.7753,-19.3099,12.4148
70;30.2877,-13.2229,15.1213
71;-9.3766,4.1721,-6.5303
72;-11.8666,-9.5213,-9.6328
73;-45.4530,21.4951,11.3246
74;378.5320,-84.1952,-218.9076
75;476.3160,75.0713,183.1944
76;-6.7003,14.1926,0.4030
77;15.9257,-5.7235,-14.7088
78;7.9998,-0.6161,0.8642
79;7.5813,-4.1283,28.1630
80;-12.9663,-22.4936,4.1634
81;2.6085,-3.0883,25.5403
82;2.0808,0.0142,3.9600
83;3.3200,6.5821,-2.2486
84;-2.8220,-27.4407,-54.6589
85;-44.7997,2.3106,-9.4785
86;16.2455,5.8520,17.8406
87;-1.2944,-19.2112,3.3534
88;-10.5953,-4.5539,6.0237
89;-56.3119,2.5999,13.6614
90;33.6682,8.6694,-48.3087
91;-20.7913,-14.3740,5.7084
92;-10.8399,-6.9600,-8.7592
93;-20.2738,14.5971,-16.2292
94;-3.0607,-6.9092,-2.6722
95;-12.4287,-62.7615,45.9362
96;32.9259,-8.0990,-43.7256
97;-3.7434,64.1721,0.8988
98;1.0256,6.2537,-8.3019
99;25.7375,-8.3546,-15.5790
