0;70.3173,44.5010,50.2264
1;2.6122,-8.8084,-6.0304
2;-12.7232,-7.3936,6.4226
3;-54.6098,-9.0994,41.5904
4;-7.1263,-119.2561,-2.8618
5;-40.2308,-130.0996,203.4029
6;4.8288,7.0591,15.4216
7;5.5951,-21.5417,-35.6406
8;25.0123,8.4392,29.6914
9;-2.1307,3.2914,-3.8250
10;-4.4246,16.3862,34.7737
11;-12.8719,7.4771,-7.5699
12;-15.5860,28.3116,10.9986
13;35.5849,-3.2769,-1.8157
14;-13.3245,8.3913,-7.1636
15;-1.0362,16.7656,-6.6517
16;144.0254,-11.8418,95.3569
17;-691.2010,160.4392,347.6964
18;16.2824,0.6932,0.9699
19;8.3541,6.2542,-14.0923
20;-875.6663,-42.7271,-404.0347
21;44.8849,-46.3180,42.9040
22;4.0493,8.8327,-21.2855
23;18.7368,73.8278,10.7458
24;11.5246,2.7913,25.2407
25;3.7453,7.9620,-21.2291
26;38.0395,23.0903,58.3561
27;42.4812,-54.8737,-62.5850
28;18.5422,2.0486,24.3568
29;-37.0433,30.7566,-61.4969
30;1.2795,2.1817,-1.4652
31;-39.3097,-24.7060,103.9562
32;59.1515,9.0739,-20.4831
33;-10.6631,58.3767,18.0475
34;5.9513,-28.0801,0.0352
35;21.0392,19.1191,-9.1745
36;-0.0848,-21.5597,-20.6632
37;-21.2440,-48.8278,-25.8603
38;26.8871,-10.2935,-25.1593
39;14.0760,23.1223,-10.2979
40;-18.6340,52.7000,14.7640
41;-34.2437,-15.8182,84.3435
42;-16.4794,29.0419,-33.7533
43;30.7680,-7.6254,-40.6815
44;-55.5662,80.8409,-30.2724
45;-19.5025,39.5853,17.3961
46;10.6590,7.0797,-0.8467
47;23.0994,-58.4441,-15.7363
48;24.5140,-20.4643,20.4067
49;8.7297,16.0777,-4.1684
50;4.3607,13.5707,-2.9637
51;-47.3020,-8.4536,-26.7310
52;34.6015,-2.2114,-12.4134
53;15.9727,1.4760,0.6771
54;-20.9949,-15.1950,0.9880
55;-10.0924,20.5479,8.2361
56;-15.8675,29.9165,-10.5436
57;-22.6136,19.5175,-12.9840
58;-11.7098,-20.0806,-23.7588
59;-55.7012,68.4871,10.6356
60;1.2648,-54.8724,7.8279
61;-8.1705,-8.3660,11.4729
62;-5.6202,-12.5961,-4.9198
63;2.7368,-22.4301,-10.1590
64;-11.8177,-38.2620,-15.2880
65;4.3066,-5.3475,44.4140
66;-0.9031,-3.9654,11.1117
67;-59.0758,6.4735,-34.2870
68;33.3451,91.7968,-188.9740
69;83.1988,-34.7448,22.7575
70;53.3914,-23.3894,26.8361
71;-15.8094,7.0464,-9.7247
72;-19.6698,-15.9427,-16.7371
73;-79.8707,37.8937,19.9888
74;662.3818,-147.2810,-383.0207
75;855.5926,134.2985,329.4505
76;-12.3922,23.5834,1.4070
77;27.1478,-10.0609,-25.5280
78;13.8465,0.3921,2.3153
79;12.7448,-7.1063,49.0309
80;-22.6218,-39.5801,7.0643
81;4.6260,-4.7858,44.7713
82;3.3652,-0.1024,5.6466
83;4.2795,13.8148,-2.9550
84;-4.5179,-48.4250,-95.9331
85;-77.9262,3.5596,-16.9906
86;28.1832,9.6359,31.5854
87;-1.6101,-33.7038,5.1585
88;-18.7478,-7.4189,9.8933
89;-100.0503,4.5936,24.2376
90;58.2464,14.6336,-84.6443
91;-36.5752,-25.6727,10.2767
92;-18.3705,-12.1872,-14.7442
93;-36.0883,25.7084,-28.5496
94;-6.2628,-11.8862,-4.9424
95;-22.2534,-111.6282,81.8081
96;58.1944,-14.5424,-77.5402
97;-6.3026,117.0743,1.4176
98;2.6451,10.8779,-13.9116
99;45.3906,-14.5018,-27.4921
