0;56.9568,36.0956,40.6615
1;2.2490,-7.3092,-4.9641
2;-10.6083,-5.9733,4.9702
3;-44.2730,-7.3735,33.7292
4;-5.7322,-96.7648,-2.2599
5;-32.5030,-105.2221,164.5922
6;4.0356,5.8751,12.8549
7;4.5841,-17.5360,-29.0139
8;20.3402,6.9165,24.1640
9;-2.0641,2.9441,-2.8935
10;-3.5891,13.4599,28.3695
11;-10.6193,6.5484,-5.6739
12;-12.6278,23.3520,8.9205
13;29.3160,-2.7773,-1.3955
14;-10.9867,6.5084,-6.1685
15;-0.6773,13.6933,-4.8962
16;116.7779,-9.5621,77.3532
17;-562.0658,130.4526,282.7267
18;13.9797,1.0604,0.6268
19;6.8862,5.1480,-11.7929
20;-706.5451,-34.3461,-326.0919
21;36.4317,-37.5363,34.7722
22;3.0584,7.1630,-18.1561
23;15.3122,60.1171,8.8007
24;9.2254,2.1960,20.7964
25;2.9410,6.3330,-17.1209
26;30.9031,18.7772,47.3407
27;34.4100,-44.5028,-50.8078
28;15.3801,1.6360,19.9313
29;-29.8540,24.9340,-49.8775
30;1.0761,1.5452,-1.2941
31;-31.8623,-20.0737,84.1131
32;47.9885,7.4239,-16.7027
33;-8.5392,47.4152,14.7141
34;4.9169,-23.0773,0.0169
35;17.0252,15.3060,-7.6823
36;-0.1345,-17.5907,-17.0131
37;-17.1681,-39.7212,-21.0891
38;21.9695,-7.9874,-20.4538
39;11.3799,19.2643,-8.1192
40;-15.1652,42.9242,11.9299
41;-27.7693,-12.7733,68.4787
42;-13.2673,23.6254,-27.4487
43;24.9127,-6.4271,-33.2346
44;-44.9716,65.5374,-24.5189
45;-15.9619,32.1823,14.3074
46;8.5042,6.1152,-0.3826
47;18.9974,-47.6395,-12.6893
48;19.9319,-16.7378,16.6216
49;7.3325,13.0471,-3.8061
50;3.3333,11.5374,-2.2030
51;-38.3976,-6.8670,-21.7336
52;28.2260,-1.7376,-10.2143
53;13.0742,0.9930,0.7245
54;-17.1789,-12.4986,0.8041
55;-8.3030,16.8318,6.7858
56;-12.9472,24.5898,-8.6840
57;-18.5927,15.9962,-10.6655
58;-8.9439,-15.6343,-19.1950
59;-45.1291,55.5528,8.6046
60;0.9315,-43.7770,6.4137
61;-6.4602,-6.1770,9.3018
62;-5.0738,-9.9871,-3.8986
63;2.1772,-18.5148,-8.2228
64;-9.7673,-31.2651,-12.5569
65;3.8924,-4.3006,36.2802
66;-0.8675,-3.2204,9.1513
67;-47.8694,5.3084,-27.8695
68;27.0281,74.3194,-152.8888
69;67.3288,-28.0196,18.2506
70;43.3303,-18.9618,21.7342
71;-13.0822,5.7803,-8.4026
72;-16.3014,-13.1826,-13.6657
73;-64.8743,30.7485,16.2141
74;538.6524,-119.7821,-311.4844
75;690.2670,108.4815,265.6979
76;-9.9253,19.5156,0.9661
77;22.2208,-8.4594,-20.7315
78;11.2283,-0.1193,1.7389
79;10.5091,-5.8151,39.9571
80;-18.4226,-32.1481,5.8054
81;3.1862,-3.9834,36.3692
82;2.8123,-0.0587,4.9379
83;3.9264,10.3534,-2.5850
84;-3.7792,-39.2805,-77.9468
85;-63.4957,3.0151,-13.7172
86;23.0349,8.0105,25.6287
87;-1.4756,-27.4092,4.3825
88;-15.2323,-6.1752,8.2341
89;-80.9908,3.7243,19.6292
90;47.5361,12.0357,-68.8107
91;-29.7112,-20.7564,8.2917
92;-15.1004,-9.8883,-12.1377
93;-29.2072,20.8725,-23.1881
94;-4.6927,-10.3342,-3.8956
95;-17.9714,-90.3300,66.1735
96;47.1839,-11.7350,-62.8058
97;-5.1871,94.0196,1.1915
98;1.9280,8.8850,-11.4879
99;36.8404,-11.8287,-22.3064
