0;1.6159,1.2609,1.0778
1;-0.0935,0.1726,-0.2900
2;-0.4904,0.0968,-1.0572
3;-1.2376,-0.1752,0.9812
4;0.0265,-3.8775,0.2203
5;-0.6694,-2.7409,4.7126
6;0.4909,0.3299,0.8128
7;0.1825,-0.3686,-0.5606
8;0.1509,0.4456,-0.0515
9;-0.2800,1.0077,0.6026
10;0.1169,0.8443,0.9511
11;0.1924,0.3201,-0.8617
12;0.0099,1.7342,-0.1458
13;2.3009,-0.5468,0.0809
14;-0.2090,0.7314,0.2082
15;0.0310,0.3015,0.6380
16;4.4610,-0.1665,3.1385
17;-30.3260,6.9766,15.2009
18;0.5800,0.2257,-0.4252
19;-0.5271,0.1657,-0.6463
20;-10.1585,0.1642,-5.1473
21;1.3225,-0.9745,0.9421
22;-0.3919,-0.0548,-0.2582
23;1.0105,3.1720,0.7187
24;-0.1670,-0.1308,1.3205
25;-0.5535,-0.3691,-0.3594
26;1.1834,0.7726,1.4448
27;0.9866,-1.5104,-2.0147
28;1.3414,0.5046,1.1431
29;-0.0164,0.7117,-1.4492
30;0.0611,-0.3052,-0.2967
31;-1.0440,-0.8300,2.0409
32;1.2096,0.3586,-0.8653
33;-0.0498,1.3387,0.5318
34;-0.1069,-1.1043,-0.2232
35;0.4207,0.0573,-0.3633
36;-0.3719,-0.2066,-0.8719
37;-0.0940,-1.3589,-0.8965
38;0.9857,-0.0372,-0.2180
39;-0.4636,1.6160,1.0140
40;-0.3551,1.8196,0.1671
41;-0.9942,-0.2619,2.8608
42;0.1011,0.5381,-0.5102
43;0.3751,-1.2908,-1.5762
44;-1.1334,2.1906,-0.6754
45;-0.7642,1.0779,0.8822
46;0.1382,0.2636,0.5733
47;1.8387,-2.5636,-0.0393
48;0.4470,-0.6389,0.4745
49;0.4293,0.0015,-0.4786
50;0.3072,0.1671,0.6644
51;-0.9353,-0.1074,-0.7356
52;0.9703,0.1341,-0.6605
53;-0.2662,0.2094,-0.2064
54;-0.0803,-0.3742,-0.1444
55;-0.3793,0.7511,0.0183
56;-0.3979,1.3165,-0.5032
57;-0.7547,0.7680,-0.7125
58;0.3214,0.1409,-0.3269
59;-1.2619,1.9074,0.1602
60;-0.4946,0.6486,-0.3059
61;0.3645,1.2765,0.1097
62;0.1477,-0.6990,0.3038
63;-0.3601,-0.9782,0.2531
64;-0.9429,-1.5401,-1.0332
65;-0.0462,0.0611,1.4440
66;-0.5057,0.8079,-0.4658
67;-1.0707,0.4067,-1.0195
68;1.0002,2.3054,-4.2072
69;1.4721,-0.1169,-0.3832
70;1.2996,-0.4664,0.4270
71;-0.0626,-0.1381,-0.5502
72;-0.6587,-0.3409,-0.7291
73;-2.7460,1.1491,0.5518
74;29.1736,-6.5500,-16.9193
75;9.5070,2.1753,3.1843
76;0.5155,1.3445,-0.5733
77;0.8681,0.1435,-0.5685
78;0.5116,0.0580,-1.0928
79;0.5881,-0.1480,1.4416
80;-0.4608,-0.5319,0.2451
81;0.1947,-0.3154,1.2237
82;0.1599,0.5770,0.3835
83;1.1331,-0.6068,-0.7034
84;-0.6986,-1.4857,-3.5919
85;-3.5717,0.7652,-0.1618
86;0.9094,0.1713,0.8610
87;-0.4226,-0.3125,0.4064
88;0.5407,-0.4718,-0.1859
89;-2.1251,0.1685,0.5369
90;3.2454,1.2390,-3.3478
91;-0.3295,-0.0145,-0.2936
92;-1.0689,-0.6305,-0.1641
93;-0.0762,0.4451,-0.3797
94;-0.2359,-0.1988,0.3789
95;-0.3038,-2.4493,1.6675
96;1.5840,-0.1103,-1.7890
97;-0.4825,0.6503,0.3950
98;-0.2809,-0.0031,-0.7872
99;0.5862,-0.2620,-0.4208
