0;18.3811,11.8237,13.0505
1;0.9633,-2.7325,-1.7311
2;-4.2471,-1.8003,0.7533
3;-14.3788,-2.3807,10.9902
4;-1.7095,-31.8758,-0.5241
5;-10.2262,-33.5073,52.7119
6;1.7243,2.2763,5.1084
7;1.6263,-5.8580,-9.6441
8;7.2869,2.7353,8.2210
9;-1.4349,1.8570,-0.1476
10;-1.1136,4.9029,9.6778
11;-4.2987,1.9609,-2.6945
12;-3.9277,8.7913,2.7496
13;10.9377,-1.2872,-0.2661
14;-3.7918,2.6502,-1.3054
15;0.8316,4.0802,0.2825
16;38.2148,-2.9893,25.4425
17;-189.8506,44.0201,95.4601
18;5.0559,0.2766,0.4511
19;2.2384,2.0661,-4.8731
20;-219.0777,-10.1890,-101.4322
21;12.0044,-12.1404,11.2605
22;0.2537,1.5409,-6.7315
23;5.3969,20.4850,3.1795
24;2.6376,0.4875,7.6845
25;0.5832,2.3434,-6.4649
26;10.2634,6.2937,15.4759
27;11.1044,-14.5491,-16.7991
28;6.0322,0.5361,7.0366
29;-9.0790,8.1027,-16.2732
30;0.3455,-0.0279,-0.8280
31;-10.3686,-6.6982,26.8408
32;15.6408,2.6183,-5.7571
33;-2.4759,15.6079,5.0164
34;1.7624,-8.3689,-0.0973
35;5.0039,4.0856,-3.2325
36;-0.3495,-5.9039,-6.2327
37;-5.3310,-13.2949,-7.2314
38;7.5469,-2.5863,-6.4494
39;3.4170,7.6368,-1.7101
40;-5.0483,14.5725,3.7458
41;-9.0799,-3.9912,22.6889
42;-3.9600,7.8615,-9.0730
43;7.9235,-2.9565,-11.5251
44;-14.3907,21.3603,-7.9048
45;-5.6283,10.6899,5.2522
46;1.9130,3.1939,0.6517
47;7.1108,-16.3542,-3.8751
48;6.5763,-5.8273,5.5843
49;2.7298,3.6895,-2.5391
50;0.8125,3.6199,-0.1801
51;-12.5735,-2.2433,-7.2438
52;9.5709,-0.3891,-3.7806
53;5.1770,1.0455,0.1517
54;-5.8317,-4.4930,0.2277
55;-3.0373,5.9915,2.3095
56;-4.4046,8.9060,-3.2028
57;-6.6960,5.6753,-3.8469
58;-0.8578,-2.6855,-5.7093
59;-14.5894,18.1914,2.7332
60;-0.0452,-11.5650,2.2742
61;-1.2201,0.2710,2.6524
62;-1.6826,-4.5954,-0.7903
63;0.4502,-6.9065,-2.5370
64;-3.7855,-10.8553,-4.6062
65;1.2747,-1.6664,12.2127
66;-0.8788,-0.8763,3.0402
67;-15.4349,1.9309,-9.2846
68;8.8170,23.9340,-48.8594
69;21.4921,-8.5977,5.2407
70;14.2009,-6.1468,6.9676
71;-4.4281,2.2367,-3.7141
72;-6.1689,-4.7332,-4.5223
73;-21.5669,10.1150,5.3075
74;182.0199,-40.5202,-105.2903
75;213.7387,34.0677,81.9397
76;-2.6546,7.4526,-0.2646
77;7.9739,-2.4213,-7.0285
78;4.2004,-0.7559,-0.2946
79;3.8776,-2.0062,13.5181
80;-6.1897,-10.5146,2.1028
81;0.6494,-1.2193,12.3878
82;1.0934,0.1439,2.5667
83;2.3923,2.1453,-1.6391
84;-1.6425,-12.8905,-26.0379
85;-21.7807,1.4459,-4.2668
86;7.3298,2.8670,8.0638
87;-1.0440,-8.9849,2.0012
88;-4.6456,-2.4993,3.0735
89;-25.9749,1.2220,6.3233
90;16.6224,4.5227,-23.1077
91;-9.7099,-6.4702,2.4866
92;-5.5162,-3.5008,-4.5500
93;-9.2067,6.8333,-7.6124
94;-1.6897,-3.1534,-0.9734
95;-5.6218,-28.9049,21.0834
96;15.3943,-3.6261,-20.2651
97;-1.9708,27.4953,0.5398
98;0.0243,2.8504,-4.2362
99;11.9746,-4.0365,-7.2630
