0;10.4671,6.8421,7.3899
1;0.5765,-1.6357,-0.9924
2;-2.7628,-0.9237,-0.1354
3;-8.2166,-1.3504,6.3002
4;-0.8860,-18.5961,-0.1693
5;-5.6782,-18.8661,29.8703
6;1.2231,1.4372,3.3341
7;0.9955,-3.3911,-5.5308
8;4.1622,1.9486,4.2219
9;-1.1174,1.5823,0.3771
10;-0.5695,3.0821,5.7253
11;-2.6175,0.9996,-2.1350
12;-2.0714,5.6612,1.4065
13;7.0151,-0.9549,-0.0742
14;-2.3608,1.8503,-0.5614
15;1.1537,1.9062,0.7501
16;22.1653,-1.6468,14.8376
17;-113.8875,26.3806,57.2419
18;3.3489,0.1766,0.2160
19;1.0751,1.4413,-3.2595
20;-119.5938,-5.2590,-55.5830
21;6.9806,-6.9054,6.4170
22;-0.1095,0.7564,-3.7965
23;3.3456,12.3304,2.0228
24;1.2904,0.1585,4.8355
25;-0.0600,1.1057,-4.2277
26;6.0080,3.7141,8.9025
27;6.3229,-8.3981,-9.8197
28;4.0176,0.3873,4.3306
29;-4.8069,4.6373,-9.3433
30;0.1814,-0.2303,-0.6979
31;-5.9637,-3.9511,15.1028
32;8.9343,1.6051,-3.4915
33;-1.2735,8.9958,2.9805
34;1.0126,-5.1951,-0.1481
35;2.2652,1.6323,-2.1984
36;-0.4047,-3.3692,-3.8844
37;-2.8638,-7.7901,-4.3339
38;4.6593,-1.1345,-3.7164
39;1.6827,5.0053,-0.3654
40;-2.9144,8.6779,2.0682
41;-5.2494,-2.1984,13.3077
42;-2.0347,4.5496,-5.1974
43;4.3956,-2.2274,-6.9530
44;-8.1223,12.3025,-4.4949
45;-3.4368,6.2163,3.3069
46;0.3533,2.0654,0.7825
47;4.6480,-9.8865,-2.0603
48;3.7664,-3.5006,3.2569
49;1.6130,1.4908,-2.1272
50;0.4329,2.0384,0.5134
51;-7.2046,-1.2687,-4.2338
52;5.5972,-0.1348,-2.4269
53;2.7630,0.8363,0.0544
54;-3.3194,-2.7227,0.0799
55;-1.8719,3.6905,1.2483
56;-2.5908,5.5210,-2.0137
57;-4.0983,3.4707,-2.3902
58;0.8299,0.0324,-2.7676
59;-8.3145,10.5169,1.5244
60;-0.2889,-4.7939,1.3674
61;0.1014,1.4897,1.1255
62;-0.7815,-3.0251,-0.2245
63;0.0486,-4.3502,-1.3037
64;-2.5221,-6.5592,-2.9399
65;0.8022,-0.7644,7.3753
66;-0.9134,-0.1584,1.5111
67;-8.7323,1.2296,-5.4382
68;5.0983,13.6452,-27.6169
69;12.0766,-4.6104,2.5740
70;8.1764,-3.4983,3.9160
71;-2.4064,1.3968,-2.2284
72;-3.8437,-2.7163,-2.5536
73;-12.6782,5.8805,3.0657
74;109.2369,-24.3442,-63.2095
75;116.4872,18.8812,44.4378
76;-1.1165,4.7908,-0.4912
77;4.8350,-1.4398,-3.9114
78;2.7486,-0.5335,-0.6746
79;2.4257,-1.1823,7.9643
80;-3.6101,-5.9692,1.3010
81;0.1715,-0.9704,7.1766
82;0.6120,0.2442,1.8929
83;1.9352,0.5633,-1.3366
84;-1.2015,-7.4856,-15.4044
85;-13.1971,1.1252,-2.3281
86;4.3193,1.5740,4.9864
87;-0.8927,-5.1053,1.4273
88;-2.2918,-1.6731,1.7993
89;-14.6974,0.7138,3.5932
90;10.2875,2.9751,-13.7428
91;-5.4901,-3.4854,1.2500
92;-3.5052,-2.3270,-2.8847
93;-5.0190,3.9049,-4.3522
94;-1.1382,-1.8263,-0.3055
95;-3.0968,-16.3462,11.8649
96;8.8733,-1.9616,-11.5390
97;-1.3127,13.8670,0.4075
98;-0.2535,1.4606,-2.6340
99;6.7609,-2.3869,-4.1323
