1;0.0201
2;0.0194
3;0.0199
4;0.0200
5;0.0196
6;0.0198
7;0.0199
8;0.0199
9;0.0194
10;0.0197
11;0.0194
12;0.0192
13;0.0198
14;0.0199
15;0.0195
16;0.0201
17;0.0199
18;0.0199
19;0.0201
20;0.0202
21;0.0198
22;0.0203
23;0.0203
24;0.0193
25;0.0197
26;0.0199
27;0.0197
28;0.0203
29;0.0200
30;0.0197
31;0.0205
32;0.0204
33;0.0195
34;0.0195
35;0.0208
36;0.0199
37;0.0196
38;0.0198
39;0.0207
40;0.0209
41;0.0195
42;0.0202
43;0.0205
44;0.0200
45;0.0198
46;0.0211
47;0.0205
48;0.0198
49;0.0200
50;0.0212
51;0.0197
52;0.0201
53;0.0199
54;0.0207
55;0.0211
56;0.0197
57;0.0209
58;0.0213
59;0.0197
60;0.0200
61;0.0198
62;0.0211
63;0.0209
64;0.0199
65;0.0196
66;0.0206
67;0.0211
68;0.0202
69;0.0203
70;0.0214
71;0.0205
72;0.0196
73;0.0197
74;0.0208
75;0.0208
76;0.0188
77;0.0194
78;0.0199
79;0.0197
80;0.0206
81;0.0194
82;0.0202
83;0.0211
84;0.0202
85;0.0200
86;0.0210
87;0.0206
88;0.0197
89;0.0202
90;0.0208
91;0.0210
92;0.0198
93;0.0192
94;0.0193
95;0.0205
96;0.0192
97;0.0211
98;0.0194
99;0.0202
100;0.0203
101;0.0191
102;0.0204
103;0.0205
104;0.0202
105;0.0191
106;0.0204
107;0.0203
108;0.0198
109;0.0194
110;0.0202
111;0.0210
112;0.0207
113;0.0202
114;0.0191
115;0.0192
116;0.0205
117;0.0208
118;0.0197
119;0.0196
120;0.0211
121;0.0213
122;0.0190
123;0.0191
124;0.0203
125;0.0204
126;0.0201
127;0.0191
128;0.0204
129;0.0203
130;0.0203
131;0.0205
132;0.0197
133;0.0196
134;0.0205
135;0.0195
136;0.0195
137;0.0199
138;0.0203
139;0.0206
140;0.0192
141;0.0206
142;0.0197
143;0.0213
144;0.0191
145;0.0201
146;0.0200
147;0.0189
148;0.0208
149;0.0190
150;0.0199
Average;49.8718,1.4820
TotalTime;3.0104
