0;34.1460,21.7440,24.3327
1;1.5567,-4.6761,-3.0966
2;-6.9247,-3.5245,2.4846
3;-26.6103,-4.4240,20.2954
4;-3.3528,-58.3793,-1.2329
5;-19.3196,-62.7813,98.3816
6;2.6768,3.7998,8.3698
7;2.8469,-10.6644,-17.6300
8;12.4521,4.3437,14.7469
9;-1.8011,2.3259,-1.2623
10;-2.1437,8.4320,17.3757
11;-7.2874,4.1246,-3.9954
12;-7.5268,14.8128,5.3181
13;18.5290,-1.9102,-0.7045
14;-6.4461,4.0206,-3.0692
15;0.0577,8.2642,-1.8460
16;70.2893,-5.6726,46.6358
17;-341.7755,79.2988,171.8957
18;8.4212,1.0866,0.4092
19;4.2550,3.2994,-7.7859
20;-418.0443,-20.0491,-193.1303
21;21.9933,-22.5312,20.8790
22;1.3045,3.7735,-11.9167
23;9.4573,36.6947,5.4783
24;5.3212,1.1800,13.1248
25;1.6304,4.0638,-10.6410
26;18.7087,11.4044,28.5162
27;20.6294,-26.7935,-30.6989
28;9.9096,0.9564,12.3392
29;-17.5744,14.9872,-30.0233
30;0.6706,0.5386,-1.0284
31;-19.1499,-12.1649,50.2407
32;28.8952,4.5949,-10.2395
33;-4.9333,28.6525,9.0016
34;3.1011,-14.4576,-0.0331
35;10.0413,8.7355,-5.0990
36;-0.2416,-10.7511,-10.7082
37;-10.1886,-24.1344,-12.9195
38;13.5210,-4.6833,-12.2850
39;6.7246,12.5292,-4.3556
40;-9.2126,26.1970,7.0903
41;-16.7165,-7.5771,41.3969
42;-7.7728,14.3410,-16.6340
43;14.8902,-4.3795,-20.4583
44;-26.8859,39.4119,-14.6952
45;-9.8851,19.5078,8.9946
46;4.7229,4.4229,0.3514
47;11.9812,-29.1658,-7.4818
48;12.0708,-10.3306,10.1269
49;4.7506,7.6778,-3.1347
50;1.8339,6.9659,-0.8689
51;-23.1613,-4.1457,-13.1835
52;17.2671,-0.9331,-6.4325
53;9.1116,0.6409,0.5398
54;-10.5647,-7.8292,0.4770
55;-5.2230,10.4548,4.2197
56;-7.9275,15.4032,-5.4758
57;-11.6405,9.9383,-6.6679
58;-4.1908,-8.0012,-11.3108
59;-27.0748,33.4650,5.1348
60;0.3590,-24.7861,3.9844
61;-3.4918,-2.3785,5.4668
62;-3.3744,-7.1594,-1.9914
63;1.1864,-11.7396,-4.8895
64;-6.2484,-19.2556,-7.8747
65;1.6930,-2.6768,22.0584
66;-0.8160,-1.9050,5.6747
67;-28.7135,3.3151,-16.8963
68;16.2511,44.5023,-91.3261
69;40.2294,-16.5362,10.5567
70;26.1292,-11.3934,13.0131
71;-8.1470,3.6682,-5.8791
72;-10.4275,-8.3239,-8.3301
73;-39.2680,18.5483,9.7671
74;327.5846,-72.8721,-189.4514
75;408.2406,64.4407,156.9432
76;-5.6632,12.4766,0.2264
77;13.7885,-5.0444,-12.5963
78;7.0055,-0.7192,0.5653
79;6.6372,-3.5857,24.3915
80;-11.2217,-19.4077,3.6361
81;2.2813,-2.4337,22.2706
82;1.8405,0.0424,3.6271
83;3.0997,5.4173,-2.1166
84;-2.5169,-23.6715,-47.2448
85;-38.8429,2.0864,-8.1288
86;14.0362,5.1421,15.3347
87;-1.2339,-16.5839,3.0164
88;-9.0889,-4.0322,5.2952
89;-48.4543,2.2423,11.7611
90;29.2529,7.5966,-41.7811
91;-17.9389,-12.3356,4.8810
92;-9.4734,-6.0440,-7.6797
93;-17.4204,12.5938,-14.0070
94;-2.6902,-5.8908,-2.2484
95;-10.6647,-53.9873,39.4953
96;28.3857,-6.9409,-37.6499
97;-3.2840,54.6705,0.8057
98;0.7491,5.3971,-7.2702
99;22.1902,-7.2436,-13.4321
